date,city,pm25
2016-03-10,Mexico City,4.25
2016-03-11,Mexico City,6.608058611551921
2016-03-12,Mexico City,22.15674591064453
2016-03-13,Mexico City,30.50000063578288
2016-03-16,Mexico City,33.0
2016-03-22,Mexico City,27.103174209594727
2016-03-23,Mexico City,17.727272669474285
2016-03-24,Mexico City,14.41919231414795
2016-03-25,Mexico City,22.551851908365887
2016-03-26,Mexico City,7.205128192901611
2016-03-27,Mexico City,14.818783124287924
2016-03-28,Mexico City,13.5
2016-03-29,Mexico City,21.166666666666668
2016-03-30,Mexico City,22.200000445048016
2016-03-31,Mexico City,25.42121187845866
2016-04-01,Mexico City,13.75457501411438
2016-04-02,Mexico City,28.166666666666668
2016-04-03,Mexico City,30.54040463765462
2016-04-04,Mexico City,32.76630465189616
2016-04-05,Mexico City,32.190134048461914
2016-04-06,Mexico City,31.6730162302653
2016-04-07,Mexico City,30.894323984781902
2016-04-08,Mexico City,43.303141276041664
2016-04-09,Mexico City,38.841270446777344
2016-04-10,Mexico City,31.33067576090495
2016-04-11,Mexico City,36.881818771362305
2016-04-13,Mexico City,29.48611068725586
2016-04-14,Mexico City,38.4323673248291
2016-04-15,Mexico City,27.41968599955241
2016-04-16,Mexico City,31.033910533910532
2016-04-17,Mexico City,33.49419657389323
2016-04-18,Mexico City,34.622584660847984
2016-04-19,Mexico City,40.222222646077476
2016-04-20,Mexico City,34.71350542704264
2016-04-21,Mexico City,25.484127044677734
2016-04-22,Mexico City,21.50595219930013
2016-04-23,Mexico City,26.069264729817707
2016-04-24,Mexico City,19.371376673380535
2016-04-25,Mexico City,23.494565963745117
2016-04-26,Mexico City,24.190476099650066
2016-04-27,Mexico City,23.827472686767578
2016-04-28,Mexico City,23.5
2016-04-29,Mexico City,23.552656809488933
2016-04-30,Mexico City,30.80615997314453
2016-05-01,Mexico City,31.609126408894856
2016-05-02,Mexico City,38.4442253112793
2016-05-03,Mexico City,58.727273305257164
2016-05-04,Mexico City,54.919944763183594
2016-05-05,Mexico City,28.95772933959961
2016-05-06,Mexico City,27.071256001790363
2016-05-07,Mexico City,16.54468536376953
2016-05-08,Mexico City,24.21666653951009
2016-05-09,Mexico City,34.833937327067055
2016-05-10,Mexico City,28.463768641153973
2016-05-11,Mexico City,35.226613998413086
2016-05-12,Mexico City,26.1608943939209
2016-05-13,Mexico City,26.846508661905926
2016-05-14,Mexico City,33.902533849080406
2016-05-15,Mexico City,28.272342681884766
2016-05-16,Mexico City,24.28985532124837
2016-05-17,Mexico City,31.292874018351238
2016-05-18,Mexico City,35.5607713063558
2016-05-19,Mexico City,29.56659762064616
2016-05-20,Mexico City,38.57097244262695
2016-05-21,Mexico City,43.12681198120117
2016-05-22,Mexico City,30.983091990152996
2016-05-23,Mexico City,25.96074930826823
2016-05-24,Mexico City,32.309422175089516
2016-05-25,Mexico City,24.90338134765625
2016-05-26,Mexico City,31.13060760498047
2016-05-27,Mexico City,36.96315701802572
2016-05-28,Mexico City,28.066666920979817
2016-05-29,Mexico City,24.586353302001953
2016-05-30,Mexico City,32.35326067606608
2016-05-31,Mexico City,29.140740712483723
2016-06-01,Mexico City,38.75631332397461
2016-06-02,Mexico City,24.359127044677734
2016-06-03,Mexico City,25.06944402058919
2016-06-04,Mexico City,19.428743680318195
2016-06-05,Mexico City,23.65881601969401
2016-06-06,Mexico City,30.492424329121906
2016-06-07,Mexico City,37.61924489339193
2016-06-08,Mexico City,30.140096028645832
2016-06-09,Mexico City,30.474424997965496
2016-06-10,Mexico City,39.10872745513916
2016-06-11,Mexico City,36.276041984558105
2016-06-12,Mexico City,20.76509666442871
2016-06-13,Mexico City,14.144444465637207
2016-06-14,Mexico City,15.408730189005533
2016-06-15,Mexico City,8.994949340820312
2016-06-16,Mexico City,11.052277247111002
2016-06-17,Mexico City,23.076039632161457
2016-06-18,Mexico City,18.468599319458008
2016-06-19,Mexico City,8.874835332234701
2016-06-20,Mexico City,8.893939336140951
2016-06-21,Mexico City,9.469965616861979
2016-06-22,Mexico City,11.711283683776855
2016-06-23,Mexico City,19.679292996724445
2016-06-24,Mexico City,27.796497344970703
2016-06-25,Mexico City,27.49158223470052
2016-06-26,Mexico City,19.778947830200195
2016-06-27,Mexico City,12.75
2016-06-28,Mexico City,10.653409004211426
2016-06-29,Mexico City,15.029582023620605
2016-06-30,Mexico City,19.56924533843994
2016-07-01,Mexico City,23.166666666666668
2016-07-02,Mexico City,20.138312021891277
2016-07-03,Mexico City,15.947848320007324
2016-07-04,Mexico City,23.687801996866863
2016-07-05,Mexico City,13.970959981282553
2016-07-06,Mexico City,15.551932017008463
2016-07-07,Mexico City,26.331349690755207
2016-07-08,Mexico City,22.859307289123535
2016-07-09,Mexico City,17.967231114705402
2016-07-10,Mexico City,23.473429997762043
2016-07-11,Mexico City,13.305555661519369
2016-07-12,Mexico City,13.98214308420817
2016-07-13,Mexico City,21.240942001342773
2016-07-14,Mexico City,21.272928555806477
2016-07-15,Mexico City,26.901570638020832
2016-07-16,Mexico City,25.643719991048176
2016-07-17,Mexico City,18.94191900889079
2016-07-18,Mexico City,14.676501274108887
2016-07-19,Mexico City,7.612146218617757
2016-07-20,Mexico City,6.061111132303874
2016-07-21,Mexico City,10.903030395507812
2016-07-22,Mexico City,15.268115997314453
2016-07-23,Mexico City,10.830227375030518
2016-07-24,Mexico City,18.73214340209961
2016-07-25,Mexico City,24.448863983154297
2016-07-26,Mexico City,23.69444465637207
2016-07-27,Mexico City,19.916666984558105
2016-07-28,Mexico City,20.25
2016-07-29,Mexico City,22.462121963500977
2016-07-30,Mexico City,16.541666984558105
2016-07-31,Mexico City,22.22916603088379
2016-08-01,Mexico City,21.041666984558105
2016-08-02,Mexico City,18.625926335652668
2016-08-04,Mexico City,11.280220031738281
2016-08-05,Mexico City,9.220238049825033
2016-08-06,Mexico City,9.54598617553711
2016-08-07,Mexico City,6.126984119415283
2016-08-08,Mexico City,9.461640199025473
2016-08-09,Mexico City,19.515872955322266
2016-08-10,Mexico City,14.215686480204264
2016-08-11,Mexico City,25.79227129618327
2016-08-12,Mexico City,28.599637349446613
2016-08-13,Mexico City,27.60748799641927
2016-08-14,Mexico City,19.700757026672363
2016-08-15,Mexico City,15.363636016845703
2016-08-16,Mexico City,11.990195910135904
2016-08-17,Mexico City,22.138095537821453
2016-08-18,Mexico City,10.524122873942057
2016-08-19,Mexico City,15.366228421529135
2016-08-20,Mexico City,20.105555216471355
2016-08-21,Mexico City,20.180555661519367
2016-08-22,Mexico City,18.382936477661133
2016-08-23,Mexico City,17.744949340820312
2016-08-24,Mexico City,21.891469319661457
2016-08-25,Mexico City,23.397368748982746
2016-08-26,Mexico City,24.666666666666668
2016-08-27,Mexico City,25.74325434366862
2016-08-28,Mexico City,20.6875
2016-08-29,Mexico City,17.234848499298096
2016-08-30,Mexico City,15.841270128885904
2016-08-31,Mexico City,17.49703534444173
2016-09-01,Mexico City,17.657694498697918
2016-09-02,Mexico City,11.252525011698404
2016-09-03,Mexico City,9.276515007019043
2016-09-04,Mexico City,8.56521717707316
2016-09-05,Mexico City,14.664141019185385
2016-09-06,Mexico City,16.75277805328369
2016-09-07,Mexico City,18.574275334676106
2016-09-08,Mexico City,18.08843994140625
2016-09-09,Mexico City,24.114734649658203
2016-09-10,Mexico City,24.29559580485026
2016-09-11,Mexico City,18.672485669453938
2016-09-12,Mexico City,27.692028681437176
2016-09-13,Mexico City,27.99927520751953
2016-09-14,Mexico City,22.084454854329426
2016-09-15,Mexico City,16.56060568491618
2016-09-16,Mexico City,15.951441764831543
2016-09-17,Mexico City,19.608091354370117
2016-09-18,Mexico City,11.384936650594076
2016-09-19,Mexico City,11.662084579467773
2016-09-20,Mexico City,10.872498194376627
2016-09-21,Mexico City,8.891414165496826
2016-09-22,Mexico City,13.633540153503418
2016-09-23,Mexico City,23.90338198343913
2016-09-24,Mexico City,29.420175552368164
2016-09-25,Mexico City,16.0
2016-09-26,Mexico City,16.372584342956543
2016-09-27,Mexico City,10.125731150309244
2016-09-28,Mexico City,11.48737366994222
2016-09-29,Mexico City,10.838383674621582
2016-09-30,Mexico City,15.068438212076822
2016-10-01,Mexico City,19.10205332438151
2016-10-02,Mexico City,19.856280008951824
2016-10-03,Mexico City,18.80029360453288
2016-10-04,Mexico City,25.141667366027832
