date,city,pm25
2021-02-21,Sao Paulo,10.272727251052856
2021-02-22,Sao Paulo,12.531249761581421
2021-02-23,Sao Paulo,12.499999761581421
2021-02-24,Sao Paulo,21.03125
2021-02-25,Sao Paulo,15.406250238418579
2021-02-26,Sao Paulo,16.41590929031372
2021-02-27,Sao Paulo,24.75
2021-02-28,Sao Paulo,8.335209608078003
2021-03-01,Sao Paulo,9.739583492279053
2021-03-02,Sao Paulo,19.424107313156128
2021-03-03,Sao Paulo,13.74999988079071
2021-03-04,Sao Paulo,13.104166746139526
2021-03-05,Sao Paulo,7.087500095367432
2021-03-06,Sao Paulo,5.692956387996674
2021-03-07,Sao Paulo,10.097222328186035
2021-03-08,Sao Paulo,12.722222010294596
2021-03-09,Sao Paulo,11.933333396911621
2021-03-10,Sao Paulo,10.74577283859253
2021-03-11,Sao Paulo,16.8017676671346
2021-03-12,Sao Paulo,21.625
2021-03-13,Sao Paulo,19.74999936421712
2021-03-14,Sao Paulo,11.458333333333334
2021-03-15,Sao Paulo,16.847222328186035
2021-03-16,Sao Paulo,18.31944465637207
2021-03-17,Sao Paulo,16.374999682108562
2021-03-18,Sao Paulo,15.444444338480631
2021-03-19,Sao Paulo,15.720959981282553
2021-03-20,Sao Paulo,17.64880911509196
2021-03-21,Sao Paulo,15.663889249165853
2021-03-22,Sao Paulo,21.166666666666668
2021-03-23,Sao Paulo,18.536057710647583
2021-03-24,Sao Paulo,15.093750238418579
2021-03-25,Sao Paulo,10.989583373069763
2021-03-26,Sao Paulo,18.520833492279053
2021-03-27,Sao Paulo,16.770833492279053
2021-03-28,Sao Paulo,9.114583134651184
2021-03-29,Sao Paulo,13.5
2021-03-30,Sao Paulo,8.367559313774109
2021-03-31,Sao Paulo,8.975877165794373
2021-04-01,Sao Paulo,8.488095164299011
2021-04-02,Sao Paulo,4.75
2021-04-03,Sao Paulo,10.447916865348816
2021-04-04,Sao Paulo,7.166666626930237
2021-04-05,Sao Paulo,7.9687498807907104
2021-04-06,Sao Paulo,11.083333611488342
2021-04-07,Sao Paulo,6.937499970197678
2021-04-08,Sao Paulo,7.4166664481163025
2021-04-09,Sao Paulo,13.864583253860474
2021-04-10,Sao Paulo,13.604166269302368
2021-04-11,Sao Paulo,18.916666984558105
2021-04-12,Sao Paulo,16.458333492279053
2021-04-13,Sao Paulo,7.233333379030228
2021-04-14,Sao Paulo,8.863636334737143
2021-04-15,Sao Paulo,11.819444338480631
2021-04-16,Sao Paulo,18.90277777777778
2021-04-17,Sao Paulo,17.222222646077473
2021-04-18,Sao Paulo,7.4722221692403155
2021-04-19,Sao Paulo,4.705808162689209
2021-04-20,Sao Paulo,6.886904716491699
2021-04-21,Sao Paulo,4.761904795964559
2021-04-22,Sao Paulo,7.666666746139526
2021-04-23,Sao Paulo,7.652777989705403
2021-04-24,Sao Paulo,6.29629643758138
2021-04-26,Sao Paulo,16.424242337544758
2021-04-27,Sao Paulo,10.625
2021-04-28,Sao Paulo,10.819444338480631
2021-04-29,Sao Paulo,7.847222487131755
2021-04-30,Sao Paulo,7.62499984105428
2021-05-01,Sao Paulo,10.698412418365479
2021-05-02,Sao Paulo,28.44444465637207
2021-05-03,Sao Paulo,25.666666666666668
2021-05-04,Sao Paulo,28.456250190734863
2021-05-05,Sao Paulo,38.260416984558105
2021-05-06,Sao Paulo,35.55027198791504
2021-05-07,Sao Paulo,5.458333432674408
2021-05-08,Sao Paulo,8.144979119300842
2021-05-09,Sao Paulo,10.630208253860474
2021-05-10,Sao Paulo,13.51838207244873
2021-05-11,Sao Paulo,21.03571367263794
2021-05-12,Sao Paulo,9.520833373069763
2021-05-13,Sao Paulo,6.644474506378174
2021-05-14,Sao Paulo,11.145833611488342
2021-05-15,Sao Paulo,15.750000238418579
2021-05-16,Sao Paulo,17.864583492279053
2021-05-17,Sao Paulo,22.395833015441895
2021-05-18,Sao Paulo,13.520833492279053
2021-05-19,Sao Paulo,22.750000476837158
2021-05-20,Sao Paulo,35.40625047683716
2021-05-21,Sao Paulo,35.60416650772095
2021-05-22,Sao Paulo,33.875
2021-05-24,Sao Paulo,13.83423900604248
2021-05-25,Sao Paulo,31.772727012634277
2021-05-26,Sao Paulo,27.571428298950195
2021-05-27,Sao Paulo,32.6453800201416
2021-05-28,Sao Paulo,32.0113639831543
2021-05-29,Sao Paulo,16.222222328186035
2021-05-30,Sao Paulo,15.75
2021-05-31,Sao Paulo,12.400000095367432
2021-06-01,Sao Paulo,32.33333349227905
2021-06-02,Sao Paulo,31.89393949508667
2021-06-03,Sao Paulo,33.22916650772095
2021-06-04,Sao Paulo,25.989583015441895
2021-06-05,Sao Paulo,23.648809909820557
2021-06-06,Sao Paulo,27.052536010742188
2021-06-07,Sao Paulo,13.3125
2021-06-08,Sao Paulo,6.866666495800018
2021-06-09,Sao Paulo,20.208333492279053
2021-06-10,Sao Paulo,21.378623008728027
2021-06-11,Sao Paulo,14.064764261245728
2021-06-12,Sao Paulo,14.51325798034668
2021-06-13,Sao Paulo,7.8199403285980225
2021-06-14,Sao Paulo,13.594504833221436
2021-06-15,Sao Paulo,21.00486993789673
2021-06-16,Sao Paulo,8.944444417953491
2021-06-17,Sao Paulo,7.416666626930237
2021-06-18,Sao Paulo,12.38451075553894
2021-06-19,Sao Paulo,20.79399538040161
2021-06-20,Sao Paulo,20.225876808166504
2021-06-21,Sao Paulo,11.257440447807312
2021-06-22,Sao Paulo,13.153273820877075
2021-06-23,Sao Paulo,8.204710245132446
2021-06-24,Sao Paulo,12.760416746139526
2021-06-25,Sao Paulo,31.170751571655273
2021-06-26,Sao Paulo,30.402777353922527
2021-06-27,Sao Paulo,23.43055597941081
2021-06-28,Sao Paulo,18.47149117787679
2021-06-29,Sao Paulo,6.092836380004883
2021-06-30,Sao Paulo,13.886088053385416
2021-07-01,Sao Paulo,12.222222328186035
2021-07-02,Sao Paulo,18.625
2021-07-03,Sao Paulo,29.8172345161438
2021-07-04,Sao Paulo,14.129570484161377
2021-07-05,Sao Paulo,16.489583253860474
2021-07-06,Sao Paulo,15.41136384010315
2021-07-07,Sao Paulo,13.302273035049438
2021-07-08,Sao Paulo,20.449275255203247
2021-07-09,Sao Paulo,22.384090900421143
2021-07-11,Sao Paulo,32.64285707473755
2021-07-12,Sao Paulo,34.79981851577759
2021-07-13,Sao Paulo,26.92361158132553
2021-07-14,Sao Paulo,42.880208015441895
2021-07-15,Sao Paulo,41.41704559326172
2021-07-16,Sao Paulo,27.58806800842285
2021-07-17,Sao Paulo,14.594202995300293
2021-07-18,Sao Paulo,14.708333253860474
2021-07-19,Sao Paulo,12.309210538864136
2021-07-20,Sao Paulo,23.71965503692627
2021-07-21,Sao Paulo,31.083786010742188
2021-07-22,Sao Paulo,31.346590995788574
2021-07-23,Sao Paulo,33.7391300201416
2021-07-24,Sao Paulo,46.9782190322876
2021-07-25,Sao Paulo,81.6875
2021-08-02,Sao Paulo,18.987500190734863
2021-08-03,Sao Paulo,10.641368985176086
2021-08-04,Sao Paulo,9.680023908615112
2021-08-05,Sao Paulo,15.079365253448486
2021-08-06,Sao Paulo,22.824999809265137
2021-08-07,Sao Paulo,21.923460483551025
2021-08-08,Sao Paulo,28.016666412353516
2021-08-09,Sao Paulo,26.189764499664307
2021-08-10,Sao Paulo,42.43040370941162
2021-08-11,Sao Paulo,23.390398502349854
2021-08-12,Sao Paulo,5.702840864658356
2021-08-13,Sao Paulo,8.316693782806396
2021-08-14,Sao Paulo,14.358630895614624
2021-08-15,Sao Paulo,21.210598468780518
2021-08-16,Sao Paulo,23.966485500335693
2021-08-17,Sao Paulo,30.49592399597168
2021-08-18,Sao Paulo,45.66983699798584
2021-08-19,Sao Paulo,40.74131917953491
2021-08-20,Sao Paulo,45.31912851333618
2021-08-21,Sao Paulo,50.568387031555176
2021-08-22,Sao Paulo,40.92481851577759
2021-08-23,Sao Paulo,63.69429302215576
2021-08-24,Sao Paulo,61.28532695770264
2021-08-25,Sao Paulo,61.50284004211426
2021-08-26,Sao Paulo,42.66666793823242
2021-08-27,Sao Paulo,8.541666626930237
2021-08-28,Sao Paulo,8.320574164390564
2021-08-29,Sao Paulo,6.661027431488037
2021-08-30,Sao Paulo,6.9999998807907104
2021-08-31,Sao Paulo,8.770833373069763
2021-09-01,Sao Paulo,11.66815459728241
2021-09-02,Sao Paulo,18.291666984558105
2021-09-03,Sao Paulo,26.57065200805664
2021-09-04,Sao Paulo,29.565670490264893
2021-09-05,Sao Paulo,23.6875
2021-09-06,Sao Paulo,19.282738208770752
2021-09-07,Sao Paulo,16.895833730697632
2021-09-08,Sao Paulo,32.47395849227905
2021-09-09,Sao Paulo,22.043452262878418
2021-09-10,Sao Paulo,22.614583015441895
2021-09-11,Sao Paulo,14.812499761581421
2021-09-12,Sao Paulo,18.722587719298247
2021-09-13,Sao Paulo,25.98300438596491
2021-09-14,Sao Paulo,33.39583333333333
2021-09-15,Sao Paulo,16.84375
2021-09-16,Sao Paulo,7.654166666666667
2021-09-17,Sao Paulo,12.701206140350877
2021-09-18,Sao Paulo,22.334280303030305
2021-09-19,Sao Paulo,34.666666666666664
2021-09-20,Sao Paulo,33.916666666666664
2021-09-21,Sao Paulo,28.39939182194617
2021-09-22,Sao Paulo,8.57797619047619
2021-09-23,Sao Paulo,10.41123188405797
2021-09-24,Sao Paulo,19.583333333333336
2021-09-25,Sao Paulo,19.506340579710145
2021-09-26,Sao Paulo,21.586309523809526
2021-09-27,Sao Paulo,28.684782608695652
2021-09-28,Sao Paulo,29.151785714285715
2021-09-29,Sao Paulo,9.833333333333334
2021-09-30,Sao Paulo,16.16193181818182
2021-10-01,Sao Paulo,17.318840579710145
2021-10-02,Sao Paulo,19.760416666666668
2021-10-03,Sao Paulo,19.84457345191041
2021-10-04,Sao Paulo,14.958333333333332
2021-10-05,Sao Paulo,8.820652173913043
2021-10-06,Sao Paulo,12.200935990338165
2021-10-07,Sao Paulo,15.472464799880981
2021-10-08,Sao Paulo,11.780701796213785
2021-10-09,Sao Paulo,8.583333492279053
2021-10-10,Sao Paulo,7.410628000895183
2021-10-11,Sao Paulo,6.236111005147298
2021-10-12,Sao Paulo,10.229166507720947
2021-10-13,Sao Paulo,16.479166507720947
2021-10-14,Sao Paulo,17.479166507720947
2021-10-15,Sao Paulo,14.90833330154419
2021-10-16,Sao Paulo,7.26630425453186
2021-10-17,Sao Paulo,6.322916746139526
2021-10-18,Sao Paulo,8.185416460037231
2021-10-19,Sao Paulo,6.089015066623688
2021-10-20,Sao Paulo,9.00951075553894
2021-10-21,Sao Paulo,12.333333253860474
2021-10-22,Sao Paulo,14.78125
2021-10-23,Sao Paulo,20.314393758773804
2021-10-24,Sao Paulo,9.458333253860474
2021-10-25,Sao Paulo,14.291213989257812
2021-10-26,Sao Paulo,16.589962005615234
2021-10-27,Sao Paulo,17.737318992614746
