value,flagInfo,parameter,period,coordinates,summary,coverage
19.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-10T03:00:00Z', 'local': '2017-07-10T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-11T03:00:00Z', 'local': '2017-07-11T00:00:00-03:00'}}",,"{'min': 1.0, 'q02': 1.0, 'q25': 5.0, 'median': 19.0, 'q75': 33.0, 'q98': 46.119998931884766, 'max': 47.0, 'avg': 19.30434799194336, 'sd': 15.232843399047852}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-10T04:00:00Z', 'local': '2017-07-10T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-11T02:00:00Z', 'local': '2017-07-10T23:00:00-03:00'}}"
32.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-11T03:00:00Z', 'local': '2017-07-11T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-12T03:00:00Z', 'local': '2017-07-12T00:00:00-03:00'}}",,"{'min': 7.0, 'q02': 7.880000114440918, 'q25': 25.5, 'median': 29.0, 'q75': 41.0, 'q98': 60.0, 'max': 60.0, 'avg': 32.173912048339844, 'sd': 14.329410552978516}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-11T04:00:00Z', 'local': '2017-07-11T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-12T02:00:00Z', 'local': '2017-07-11T23:00:00-03:00'}}"
27.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-12T03:00:00Z', 'local': '2017-07-12T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-13T03:00:00Z', 'local': '2017-07-13T00:00:00-03:00'}}",,"{'min': 10.0, 'q02': 10.4399995803833, 'q25': 17.0, 'median': 20.0, 'q75': 39.0, 'q98': 49.68000030517578, 'max': 51.0, 'avg': 27.565217971801758, 'sd': 13.657585144042969}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-12T04:00:00Z', 'local': '2017-07-12T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-13T02:00:00Z', 'local': '2017-07-12T23:00:00-03:00'}}"
27.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-13T03:00:00Z', 'local': '2017-07-13T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-14T03:00:00Z', 'local': '2017-07-14T00:00:00-03:00'}}",,"{'min': 4.0, 'q02': 4.880000114440918, 'q25': 16.0, 'median': 26.0, 'q75': 41.0, 'q98': 52.0, 'max': 52.0, 'avg': 27.782608032226562, 'sd': 15.509400367736816}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-13T04:00:00Z', 'local': '2017-07-13T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-14T02:00:00Z', 'local': '2017-07-13T23:00:00-03:00'}}"
27.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-14T03:00:00Z', 'local': '2017-07-14T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-15T03:00:00Z', 'local': '2017-07-15T00:00:00-03:00'}}",,"{'min': 4.0, 'q02': 4.880000114440918, 'q25': 13.5, 'median': 28.0, 'q75': 42.5, 'q98': 52.68000030517578, 'max': 54.0, 'avg': 27.782608032226562, 'sd': 16.528093338012695}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-14T04:00:00Z', 'local': '2017-07-14T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-15T02:00:00Z', 'local': '2017-07-14T23:00:00-03:00'}}"
18.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-15T03:00:00Z', 'local': '2017-07-15T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-16T03:00:00Z', 'local': '2017-07-16T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.4399999976158142, 'q25': 11.5, 'median': 21.0, 'q75': 24.5, 'q98': 32.68000030517578, 'max': 34.0, 'avg': 18.60869598388672, 'sd': 9.585685729980469}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-15T04:00:00Z', 'local': '2017-07-15T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-16T02:00:00Z', 'local': '2017-07-15T23:00:00-03:00'}}"
15.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-16T03:00:00Z', 'local': '2017-07-16T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-17T03:00:00Z', 'local': '2017-07-17T00:00:00-03:00'}}",,"{'min': 1.0, 'q02': 1.0, 'q25': 4.5, 'median': 19.0, 'q75': 23.5, 'q98': 28.68000030517578, 'max': 30.0, 'avg': 15.52173900604248, 'sd': 9.866700172424316}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-16T04:00:00Z', 'local': '2017-07-16T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-17T02:00:00Z', 'local': '2017-07-16T23:00:00-03:00'}}"
14.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-17T03:00:00Z', 'local': '2017-07-17T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-18T03:00:00Z', 'local': '2017-07-18T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 0.5, 'median': 15.0, 'q75': 27.0, 'q98': 35.119998931884766, 'max': 36.0, 'avg': 14.913043022155762, 'sd': 13.780464172363281}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-17T04:00:00Z', 'local': '2017-07-17T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-18T02:00:00Z', 'local': '2017-07-17T23:00:00-03:00'}}"
0.13,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-18T03:00:00Z', 'local': '2017-07-18T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-19T03:00:00Z', 'local': '2017-07-19T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 0.0, 'median': 0.0, 'q75': 0.0, 'q98': 1.559999942779541, 'max': 2.0, 'avg': 0.1304347813129425, 'sd': 0.4576965868473053}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-18T04:00:00Z', 'local': '2017-07-18T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-19T02:00:00Z', 'local': '2017-07-18T23:00:00-03:00'}}"
18.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-19T03:00:00Z', 'local': '2017-07-19T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-20T03:00:00Z', 'local': '2017-07-20T00:00:00-03:00'}}",,"{'min': 3.0, 'q02': 4.320000171661377, 'q25': 8.0, 'median': 14.0, 'q75': 24.5, 'q98': 67.27999877929688, 'max': 84.0, 'avg': 18.913043975830078, 'sd': 17.304527282714844}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-19T04:00:00Z', 'local': '2017-07-19T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-20T02:00:00Z', 'local': '2017-07-19T23:00:00-03:00'}}"
20.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-20T03:00:00Z', 'local': '2017-07-20T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-21T03:00:00Z', 'local': '2017-07-21T00:00:00-03:00'}}",,"{'min': 2.0, 'q02': 2.0, 'q25': 7.25, 'median': 10.5, 'q75': 34.5, 'q98': 56.900001525878906, 'max': 62.0, 'avg': 20.77777862548828, 'sd': 18.79159927368164}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 18, 'observedInterval': '18:00:00', 'percentComplete': 75.0, 'percentCoverage': 75.0, 'datetimeFrom': {'utc': '2017-07-20T04:00:00Z', 'local': '2017-07-20T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-20T21:00:00Z', 'local': '2017-07-20T18:00:00-03:00'}}"
2.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-10T03:00:00Z', 'local': '2017-08-10T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-11T03:00:00Z', 'local': '2017-08-11T00:00:00-03:00'}}",,"{'min': 1.0, 'q02': 1.0, 'q25': 1.0, 'median': 2.0, 'q75': 3.0, 'q98': 3.0, 'max': 3.0, 'avg': 2.0, 'sd': 1.154700517654419}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 4, 'observedInterval': '04:00:00', 'percentComplete': 17.0, 'percentCoverage': 17.0, 'datetimeFrom': {'utc': '2017-08-10T23:00:00Z', 'local': '2017-08-10T20:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-11T02:00:00Z', 'local': '2017-08-10T23:00:00-03:00'}}"
14.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-11T03:00:00Z', 'local': '2017-08-11T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-12T03:00:00Z', 'local': '2017-08-12T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 2.0, 'median': 8.5, 'q75': 30.75, 'q98': 40.15999984741211, 'max': 41.0, 'avg': 14.909090995788574, 'sd': 15.237513542175293}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2017-08-11T04:00:00Z', 'local': '2017-08-11T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-12T02:00:00Z', 'local': '2017-08-11T23:00:00-03:00'}}"
24.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-12T03:00:00Z', 'local': '2017-08-12T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-13T03:00:00Z', 'local': '2017-08-13T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.8799999952316284, 'q25': 8.0, 'median': 25.0, 'q75': 41.5, 'q98': 51.2400016784668, 'max': 53.0, 'avg': 24.60869598388672, 'sd': 17.53370475769043}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-08-12T04:00:00Z', 'local': '2017-08-12T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-13T02:00:00Z', 'local': '2017-08-12T23:00:00-03:00'}}"
28.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-13T03:00:00Z', 'local': '2017-08-13T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-14T03:00:00Z', 'local': '2017-08-14T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 1.0800000429153442, 'q25': 10.0, 'median': 37.0, 'q75': 43.0, 'q98': 48.0, 'max': 48.0, 'avg': 28.421052932739258, 'sd': 17.827306747436523}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 19, 'observedInterval': '19:00:00', 'percentComplete': 79.0, 'percentCoverage': 79.0, 'datetimeFrom': {'utc': '2017-08-13T04:00:00Z', 'local': '2017-08-13T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-14T02:00:00Z', 'local': '2017-08-13T23:00:00-03:00'}}"
19.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-14T03:00:00Z', 'local': '2017-08-14T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-15T03:00:00Z', 'local': '2017-08-15T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 16.75, 'median': 22.0, 'q75': 24.75, 'q98': 35.31999969482422, 'max': 37.0, 'avg': 19.5, 'sd': 9.757781028747559}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2017-08-14T04:00:00Z', 'local': '2017-08-14T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-15T02:00:00Z', 'local': '2017-08-14T23:00:00-03:00'}}"
7.14,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-08-15T03:00:00Z', 'local': '2017-08-15T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-16T03:00:00Z', 'local': '2017-08-16T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.4000000059604645, 'q25': 2.0, 'median': 6.0, 'q75': 12.0, 'q98': 21.200000762939453, 'max': 22.0, 'avg': 7.142857074737549, 'sd': 6.513721942901611}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2017-08-15T04:00:00Z', 'local': '2017-08-15T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-08-16T02:00:00Z', 'local': '2017-08-15T23:00:00-03:00'}}"
