value,flagInfo,parameter,period,coordinates,summary,coverage
22.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-21T15:00:00Z', 'local': '2020-10-22T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}}",,"{'min': 4.599999904632568, 'q02': 4.645999908447266, 'q25': 5.025000095367432, 'median': 29.899999618530273, 'q75': 31.174999237060547, 'q98': 46.91999816894531, 'max': 48.29999923706055, 'avg': 22.27916717529297, 'sd': 15.331070899963379}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-21T16:00:00Z', 'local': '2020-10-22T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}}"
5.74,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-23T15:00:00Z', 'local': '2020-10-24T00:00:00+09:00'}}",,"{'min': 3.0, 'q02': 3.0, 'q25': 5.074999809265137, 'median': 5.949999809265137, 'q75': 6.449999809265137, 'q98': 7.886000156402588, 'max': 8.300000190734863, 'avg': 5.737500190734863, 'sd': 1.3157284259796143}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-22T16:00:00Z', 'local': '2020-10-23T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-23T15:00:00Z', 'local': '2020-10-24T00:00:00+09:00'}}"
6.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-23T15:00:00Z', 'local': '2020-10-24T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-24T15:00:00Z', 'local': '2020-10-25T00:00:00+09:00'}}",,"{'min': 3.5, 'q02': 3.638000011444092, 'q25': 4.724999904632568, 'median': 6.900000095367432, 'q75': 8.649999618530273, 'q98': 11.142000198364258, 'max': 12.199999809265137, 'avg': 6.900000095367432, 'sd': 2.4119269847869873}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-23T16:00:00Z', 'local': '2020-10-24T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-24T15:00:00Z', 'local': '2020-10-25T00:00:00+09:00'}}"
9.91,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-24T15:00:00Z', 'local': '2020-10-25T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-25T15:00:00Z', 'local': '2020-10-26T00:00:00+09:00'}}",,"{'min': 4.699999809265137, 'q02': 4.868000030517578, 'q25': 8.100000381469727, 'median': 10.449999809265137, 'q75': 11.274999618530273, 'q98': 14.54800033569336, 'max': 14.800000190734863, 'avg': 9.913636207580566, 'sd': 2.624662399291992}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2020-10-24T16:00:00Z', 'local': '2020-10-25T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-25T13:00:00Z', 'local': '2020-10-25T22:00:00+09:00'}}"
25.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-25T15:00:00Z', 'local': '2020-10-26T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-26T15:00:00Z', 'local': '2020-10-27T00:00:00+09:00'}}",,"{'min': 13.0, 'q02': 13.319999694824219, 'q25': 16.600000381469727, 'median': 18.399999618530273, 'q75': 36.70000076293945, 'q98': 45.07600021362305, 'max': 45.29999923706055, 'avg': 25.399999618530273, 'sd': 11.96019458770752}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 17, 'observedInterval': '17:00:00', 'percentComplete': 71.0, 'percentCoverage': 71.0, 'datetimeFrom': {'utc': '2020-10-25T23:00:00Z', 'local': '2020-10-26T08:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-26T15:00:00Z', 'local': '2020-10-27T00:00:00+09:00'}}"
52.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-26T15:00:00Z', 'local': '2020-10-27T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-27T15:00:00Z', 'local': '2020-10-28T00:00:00+09:00'}}",,"{'min': 39.5, 'q02': 39.99399948120117, 'q25': 47.04999923706055, 'median': 52.20000076293945, 'q75': 57.849998474121094, 'q98': 70.95999908447266, 'max': 72.0999984741211, 'avg': 52.86000061035156, 'sd': 8.95141315460205}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 20, 'observedInterval': '20:00:00', 'percentComplete': 83.0, 'percentCoverage': 83.0, 'datetimeFrom': {'utc': '2020-10-26T16:00:00Z', 'local': '2020-10-27T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-27T13:00:00Z', 'local': '2020-10-27T22:00:00+09:00'}}"
10.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-27T15:00:00Z', 'local': '2020-10-28T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-28T15:00:00Z', 'local': '2020-10-29T00:00:00+09:00'}}",,"{'min': 4.300000190734863, 'q02': 4.329999923706055, 'q25': 5.974999904632568, 'median': 8.100000381469727, 'q75': 10.975000381469727, 'q98': 24.860000610351562, 'max': 26.299999237060547, 'avg': 10.043749809265137, 'sd': 6.313685417175293}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 16, 'observedInterval': '16:00:00', 'percentComplete': 67.0, 'percentCoverage': 67.0, 'datetimeFrom': {'utc': '2020-10-28T00:00:00Z', 'local': '2020-10-28T09:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-28T15:00:00Z', 'local': '2020-10-29T00:00:00+09:00'}}"
11.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-28T15:00:00Z', 'local': '2020-10-29T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-29T15:00:00Z', 'local': '2020-10-30T00:00:00+09:00'}}",,"{'min': 7.099999904632568, 'q02': 7.329999923706055, 'q25': 8.125, 'median': 10.199999809265137, 'q75': 14.375, 'q98': 16.65399932861328, 'max': 16.700000762939453, 'avg': 10.995833396911621, 'sd': 3.323366403579712}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-28T16:00:00Z', 'local': '2020-10-29T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-29T15:00:00Z', 'local': '2020-10-30T00:00:00+09:00'}}"
15.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-29T15:00:00Z', 'local': '2020-10-30T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-30T15:00:00Z', 'local': '2020-10-31T00:00:00+09:00'}}",,"{'min': 6.5, 'q02': 6.914000034332275, 'q25': 11.75, 'median': 14.5, 'q75': 19.725000381469727, 'q98': 24.489999771118164, 'max': 26.100000381469727, 'avg': 15.350000381469727, 'sd': 5.348709583282471}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-29T16:00:00Z', 'local': '2020-10-30T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-30T15:00:00Z', 'local': '2020-10-31T00:00:00+09:00'}}"
10.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-30T15:00:00Z', 'local': '2020-10-31T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-31T15:00:00Z', 'local': '2020-11-01T00:00:00+09:00'}}",,"{'min': 7.0, 'q02': 7.0, 'q25': 7.699999809265137, 'median': 9.600000381469727, 'q75': 10.725000381469727, 'q98': 18.1299991607666, 'max': 20.200000762939453, 'avg': 10.029166221618652, 'sd': 3.121939182281494}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-30T16:00:00Z', 'local': '2020-10-31T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-31T15:00:00Z', 'local': '2020-11-01T00:00:00+09:00'}}"
