date,city,pm25
2017-02-17,Paris,26.8110834757487
2017-02-18,Paris,36.13611094156901
2017-02-19,Paris,15.09005037943522
2017-02-20,Paris,7.587777773539226
2017-02-21,Paris,6.37666670481364
2017-02-22,Paris,7.530145009358724
2017-02-23,Paris,9.337361176808676
2017-02-24,Paris,20.274999618530273
2017-02-25,Paris,12.868472417195639
2017-02-26,Paris,5.762500047683716
2017-02-27,Paris,6.617638826370239
2017-02-28,Paris,6.61424986521403
2017-03-01,Paris,10.12666654586792
2017-03-02,Paris,13.484758694966635
2017-03-03,Paris,10.817639191945394
2017-03-04,Paris,7.346666653951009
2017-03-05,Paris,9.98752530415853
2017-03-06,Paris,10.715336163838705
2017-03-07,Paris,10.853889147440592
2017-03-08,Paris,8.420138994852701
2017-03-09,Paris,17.384761810302734
2017-03-11,Paris,26.834301630655926
2017-03-12,Paris,31.41902732849121
2017-03-13,Paris,18.468611081441242
2017-03-14,Paris,17.725971857706707
2017-03-15,Paris,29.73805554707845
2017-03-16,Paris,22.10819435119629
2017-03-17,Paris,8.160555521647135
2017-03-18,Paris,10.491249879201254
2017-03-19,Paris,8.231818040211996
2017-03-20,Paris,7.74916672706604
2017-03-21,Paris,10.70229172706604
2017-03-22,Paris,11.588958501815796
2017-03-23,Paris,18.389999866485596
2017-03-26,Paris,26.987174034118652
2017-03-27,Paris,29.539374351501465
2017-03-28,Paris,14.686481475830078
2017-03-29,Paris,14.725694338480631
2017-03-30,Paris,14.245416641235352
2017-03-31,Paris,10.201666673024496
2017-04-01,Paris,11.281944433848063
2017-04-02,Paris,19.378611246744793
2017-04-03,Paris,20.58513863881429
2017-04-04,Paris,20.53208287556966
2017-04-05,Paris,13.244166374206543
2017-04-06,Paris,23.360555013020832
2017-04-07,Paris,35.67250061035156
2017-04-08,Paris,30.598889032999676
2017-04-09,Paris,22.217361450195312
2017-04-10,Paris,13.020417054494223
2017-04-11,Paris,13.27166716257731
2017-04-12,Paris,14.496389071146647
2017-04-13,Paris,14.986527760823568
2017-04-14,Paris,12.726388931274414
2017-04-15,Paris,10.60861078898112
2017-04-16,Paris,9.460000038146973
2017-04-17,Paris,9.346666812896729
2017-04-18,Paris,16.175757726033527
2017-04-19,Paris,19.5625
2017-04-20,Paris,24.522499720255535
2017-04-21,Paris,16.999722162882488
2017-04-22,Paris,14.946667035420736
2017-04-23,Paris,14.608939170837402
2017-04-24,Paris,9.204027811686197
2017-04-25,Paris,9.480277856191
2017-04-26,Paris,9.768750031789144
2017-04-27,Paris,14.657500267028809
2017-04-28,Paris,20.616818110148113
2017-05-01,Paris,11.802698294321695
2017-05-02,Paris,18.831222534179688
2017-05-03,Paris,22.884166717529297
2017-05-09,Paris,16.043333371480305
2017-05-10,Paris,12.972222328186035
2017-05-11,Paris,15.126667022705078
2017-05-13,Paris,10.17157506942749
2017-05-14,Paris,10.810972213745117
2017-05-15,Paris,12.445972283681234
2017-05-16,Paris,14.251944541931152
2017-05-17,Paris,8.328222354253134
