value,flagInfo,parameter,period,coordinates,summary,coverage
5.95,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-04T15:00:00Z', 'local': '2023-08-05T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-05T15:00:00Z', 'local': '2023-08-06T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.0, 'q25': 4.0, 'median': 5.5, 'q75': 8.0, 'q98': 10.739999771118164, 'max': 12.0, 'avg': 5.954545497894287, 'sd': 2.6090917587280273}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-04T16:00:00Z', 'local': '2023-08-05T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-05T13:00:00Z', 'local': '2023-08-05T22:00:00+09:00'}}"
5.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-05T15:00:00Z', 'local': '2023-08-06T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-06T15:00:00Z', 'local': '2023-08-07T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.0, 'q25': 4.0, 'median': 6.0, 'q75': 7.0, 'q98': 10.0, 'max': 10.0, 'avg': 5.636363506317139, 'sd': 2.4210476875305176}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-05T16:00:00Z', 'local': '2023-08-06T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-06T13:00:00Z', 'local': '2023-08-06T22:00:00+09:00'}}"
3.48,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-06T15:00:00Z', 'local': '2023-08-07T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-07T15:00:00Z', 'local': '2023-08-08T00:00:00+09:00'}}",,"{'min': 1.0, 'q02': 1.0, 'q25': 2.0, 'median': 3.0, 'q75': 5.0, 'q98': 7.599999904632568, 'max': 8.0, 'avg': 3.4761905670166016, 'sd': 2.1123220920562744}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2023-08-06T16:00:00Z', 'local': '2023-08-07T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-07T13:00:00Z', 'local': '2023-08-07T22:00:00+09:00'}}"
4.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-07T15:00:00Z', 'local': '2023-08-08T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-08T15:00:00Z', 'local': '2023-08-09T00:00:00+09:00'}}",,"{'min': 1.0, 'q02': 1.0, 'q25': 3.0, 'median': 4.5, 'q75': 5.75, 'q98': 9.579999923706055, 'max': 10.0, 'avg': 4.636363506317139, 'sd': 2.341050863265991}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-07T16:00:00Z', 'local': '2023-08-08T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-08T13:00:00Z', 'local': '2023-08-08T22:00:00+09:00'}}"
5.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-08T15:00:00Z', 'local': '2023-08-09T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-09T15:00:00Z', 'local': '2023-08-10T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.0, 'q25': 4.0, 'median': 5.0, 'q75': 6.0, 'q98': 8.579999923706055, 'max': 9.0, 'avg': 5.0, 'sd': 1.9760470390319824}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-08T16:00:00Z', 'local': '2023-08-09T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-09T13:00:00Z', 'local': '2023-08-09T22:00:00+09:00'}}"
8.71,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-09T15:00:00Z', 'local': '2023-08-10T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-10T15:00:00Z', 'local': '2023-08-11T00:00:00+09:00'}}",,"{'min': 6.0, 'q02': 6.0, 'q25': 7.0, 'median': 9.0, 'q75': 10.0, 'q98': 12.0, 'max': 12.0, 'avg': 8.714285850524902, 'sd': 1.953019618988037}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2023-08-09T16:00:00Z', 'local': '2023-08-10T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-10T13:00:00Z', 'local': '2023-08-10T22:00:00+09:00'}}"
7.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-10T15:00:00Z', 'local': '2023-08-11T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-11T15:00:00Z', 'local': '2023-08-12T00:00:00+09:00'}}",,"{'min': 5.0, 'q02': 5.420000076293945, 'q25': 6.0, 'median': 7.0, 'q75': 9.0, 'q98': 11.0, 'max': 11.0, 'avg': 7.636363506317139, 'sd': 1.7056057453155518}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-10T16:00:00Z', 'local': '2023-08-11T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-11T13:00:00Z', 'local': '2023-08-11T22:00:00+09:00'}}"
7.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-11T15:00:00Z', 'local': '2023-08-12T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-12T15:00:00Z', 'local': '2023-08-13T00:00:00+09:00'}}",,"{'min': 4.0, 'q02': 4.420000076293945, 'q25': 5.0, 'median': 6.5, 'q75': 10.0, 'q98': 12.579999923706055, 'max': 13.0, 'avg': 7.636363506317139, 'sd': 2.85432767868042}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-11T16:00:00Z', 'local': '2023-08-12T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-12T13:00:00Z', 'local': '2023-08-12T22:00:00+09:00'}}"
6.18,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-12T15:00:00Z', 'local': '2023-08-13T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-13T15:00:00Z', 'local': '2023-08-14T00:00:00+09:00'}}",,"{'min': 3.0, 'q02': 3.0, 'q25': 4.0, 'median': 5.5, 'q75': 8.5, 'q98': 11.0, 'max': 11.0, 'avg': 6.181818008422852, 'sd': 2.736636161804199}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-12T16:00:00Z', 'local': '2023-08-13T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-13T13:00:00Z', 'local': '2023-08-13T22:00:00+09:00'}}"
8.55,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-13T15:00:00Z', 'local': '2023-08-14T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-14T15:00:00Z', 'local': '2023-08-15T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.4200000762939453, 'q25': 5.0, 'median': 7.5, 'q75': 12.0, 'q98': 15.0, 'max': 15.0, 'avg': 8.545454978942871, 'sd': 4.079300403594971}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-13T16:00:00Z', 'local': '2023-08-14T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-14T13:00:00Z', 'local': '2023-08-14T22:00:00+09:00'}}"
15.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-14T15:00:00Z', 'local': '2023-08-15T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-15T15:00:00Z', 'local': '2023-08-16T00:00:00+09:00'}}",,"{'min': 5.0, 'q02': 5.0, 'q25': 10.25, 'median': 17.0, 'q75': 21.75, 'q98': 24.0, 'max': 24.0, 'avg': 15.818181991577148, 'sd': 6.207801342010498}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-14T16:00:00Z', 'local': '2023-08-15T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-15T13:00:00Z', 'local': '2023-08-15T22:00:00+09:00'}}"
13.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-15T15:00:00Z', 'local': '2023-08-16T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-16T15:00:00Z', 'local': '2023-08-17T00:00:00+09:00'}}",,"{'min': 6.0, 'q02': 6.840000152587891, 'q25': 10.0, 'median': 14.0, 'q75': 16.0, 'q98': 19.0, 'max': 19.0, 'avg': 13.454545021057129, 'sd': 3.7887964248657227}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-15T16:00:00Z', 'local': '2023-08-16T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-16T13:00:00Z', 'local': '2023-08-16T22:00:00+09:00'}}"
8.48,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-16T15:00:00Z', 'local': '2023-08-17T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-17T15:00:00Z', 'local': '2023-08-18T00:00:00+09:00'}}",,"{'min': 4.0, 'q02': 4.800000190734863, 'q25': 8.0, 'median': 9.0, 'q75': 9.0, 'q98': 12.199999809265137, 'max': 13.0, 'avg': 8.476190567016602, 'sd': 1.8335497379302979}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2023-08-16T16:00:00Z', 'local': '2023-08-17T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-17T13:00:00Z', 'local': '2023-08-17T22:00:00+09:00'}}"
