value,flagInfo,parameter,period,coordinates,summary,coverage
5.97,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-02T22:00:00Z', 'local': '2021-05-03T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-03T22:00:00Z', 'local': '2021-05-04T00:00:00+02:00'}}",,"{'min': 5.929999828338623, 'q02': 5.931399822235107, 'q25': 5.947500228881836, 'median': 5.965000152587891, 'q75': 5.982500076293945, 'q98': 5.998600006103516, 'max': 6.0, 'avg': 5.965000152587891, 'sd': 0.04949747398495674}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-03T01:00:00Z', 'local': '2021-05-03T03:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-03T02:00:00Z', 'local': '2021-05-03T04:00:00+02:00'}}"
3.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-04T22:00:00Z', 'local': '2021-05-05T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-05T22:00:00Z', 'local': '2021-05-06T00:00:00+02:00'}}",,"{'min': 3.9000000953674316, 'q02': 3.9000000953674316, 'q25': 3.9000000953674316, 'median': 3.9000000953674316, 'q75': 3.9000000953674316, 'q98': 3.9000000953674316, 'max': 3.9000000953674316, 'avg': 3.9000000953674316, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-05-05T00:00:00Z', 'local': '2021-05-05T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-05T00:00:00Z', 'local': '2021-05-05T02:00:00+02:00'}}"
6.83,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-05T22:00:00Z', 'local': '2021-05-06T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-06T22:00:00Z', 'local': '2021-05-07T00:00:00+02:00'}}",,"{'min': 6.829999923706055, 'q02': 6.829999923706055, 'q25': 6.829999923706055, 'median': 6.829999923706055, 'q75': 6.829999923706055, 'q98': 6.829999923706055, 'max': 6.829999923706055, 'avg': 6.829999923706055, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-05-06T00:00:00Z', 'local': '2021-05-06T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-06T00:00:00Z', 'local': '2021-05-06T02:00:00+02:00'}}"
9.99,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-06T22:00:00Z', 'local': '2021-05-07T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-07T22:00:00Z', 'local': '2021-05-08T00:00:00+02:00'}}",,"{'min': 9.760000228881836, 'q02': 9.769200325012207, 'q25': 9.875, 'median': 9.989999771118164, 'q75': 10.104999542236328, 'q98': 10.210800170898438, 'max': 10.220000267028809, 'avg': 9.989999771118164, 'sd': 0.3252691328525543}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-07T00:00:00Z', 'local': '2021-05-07T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-07T01:00:00Z', 'local': '2021-05-07T03:00:00+02:00'}}"
6.46,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-07T22:00:00Z', 'local': '2021-05-08T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-08T22:00:00Z', 'local': '2021-05-09T00:00:00+02:00'}}",,"{'min': 6.010000228881836, 'q02': 6.022799968719482, 'q25': 6.170000076293945, 'median': 6.329999923706055, 'q75': 6.690000057220459, 'q98': 7.021200180053711, 'max': 7.050000190734863, 'avg': 6.4633331298828125, 'sd': 0.5326662659645081}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 3, 'observedInterval': '03:00:00', 'percentComplete': 13.0, 'percentCoverage': 13.0, 'datetimeFrom': {'utc': '2021-05-08T00:00:00Z', 'local': '2021-05-08T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-08T02:00:00Z', 'local': '2021-05-08T04:00:00+02:00'}}"
7.13,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-09T22:00:00Z', 'local': '2021-05-10T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-10T22:00:00Z', 'local': '2021-05-11T00:00:00+02:00'}}",,"{'min': 7.039999961853027, 'q02': 7.043600082397461, 'q25': 7.085000038146973, 'median': 7.130000114440918, 'q75': 7.175000190734863, 'q98': 7.216400146484375, 'max': 7.21999979019165, 'avg': 7.130000114440918, 'sd': 0.12727922201156616}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-10T00:00:00Z', 'local': '2021-05-10T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-10T01:00:00Z', 'local': '2021-05-10T03:00:00+02:00'}}"
9.14,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-11T22:00:00Z', 'local': '2021-05-12T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-12T22:00:00Z', 'local': '2021-05-13T00:00:00+02:00'}}",,"{'min': 9.140000343322754, 'q02': 9.140000343322754, 'q25': 9.140000343322754, 'median': 9.140000343322754, 'q75': 9.140000343322754, 'q98': 9.140000343322754, 'max': 9.140000343322754, 'avg': 9.140000343322754, 'sd': 0.0}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-12T00:00:00Z', 'local': '2021-05-12T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-12T01:00:00Z', 'local': '2021-05-12T03:00:00+02:00'}}"
8.98,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-12T22:00:00Z', 'local': '2021-05-13T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-13T22:00:00Z', 'local': '2021-05-14T00:00:00+02:00'}}",,"{'min': 8.109999656677246, 'q02': 8.144599914550781, 'q25': 8.542499542236328, 'median': 8.975000381469727, 'q75': 9.407500267028809, 'q98': 9.805399894714355, 'max': 9.84000015258789, 'avg': 8.975000381469727, 'sd': 1.223294734954834}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-13T00:00:00Z', 'local': '2021-05-13T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-13T01:00:00Z', 'local': '2021-05-13T03:00:00+02:00'}}"
6.84,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-14T22:00:00Z', 'local': '2021-05-15T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-15T22:00:00Z', 'local': '2021-05-16T00:00:00+02:00'}}",,"{'min': 6.380000114440918, 'q02': 6.398200035095215, 'q25': 6.607500076293945, 'median': 6.835000038146973, 'q75': 7.0625, 'q98': 7.2718000411987305, 'max': 7.289999961853027, 'avg': 6.835000038146973, 'sd': 0.6434671878814697}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-05-15T00:00:00Z', 'local': '2021-05-15T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-15T01:00:00Z', 'local': '2021-05-15T03:00:00+02:00'}}"
4.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-05-15T22:00:00Z', 'local': '2021-05-16T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-16T22:00:00Z', 'local': '2021-05-17T00:00:00+02:00'}}",,"{'min': 4.699999809265137, 'q02': 4.699999809265137, 'q25': 4.699999809265137, 'median': 4.699999809265137, 'q75': 4.699999809265137, 'q98': 4.699999809265137, 'max': 4.699999809265137, 'avg': 4.699999809265137, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-05-16T00:00:00Z', 'local': '2021-05-16T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-16T00:00:00Z', 'local': '2021-05-16T02:00:00+02:00'}}"
